complaint_id;customer_id;flight_id;booking_id;complaint_date;complaint_type;complaint_text;assigned_department;resolution_status;corrective_action_taken
CMP000001;CUST0016;FLT00048;BKG000448;2025-04-30;Service;Repas servi froid sans choix sur vol HF350 (ABJ?LOS). Pour 838 USD en classe affaires, la qualité est bien en dessous du minimum acceptable.;Customer Service;Resolved;Crew member identified and counseled. Formal apology sent. Refresher training on service standards scheduled for full cabin crew.
CMP000002;CUST0143;FLT00080;BKG000441;2025-06-22;Baggage;Trois bagages familiaux non chargés sur vol HF833. Promesse de livraison le lendemain. Cela fait 8 jours — toujours rien à DKR.;Baggage;Resolved;Item reported missing. 131 USD interim payment issued pending investigation. CCTV review requested with destination airport.
CMP000003;CUST0283;FLT00151;BKG001288;2025-11-13;Delay;Retard de 6h sur le vol HF967 (ABJ?CMN). Aucun bon repas proposé. À l'arrivée à CMN, bagages livrés 6h plus tard. Désorganisation totale.;Operations;Resolved;Passenger contacted and apologized. Meal voucher 113 USD issued. Delay cause (ATC slot) forwarded to Network Operations for schedule review.
CMP000004;CUST0233;FLT00326;BKG000748;2025-03-25;Ramp Ops;Wheelchair assistance requested at booking (HF4814) not arranged at ABJ. Had to navigate terminal independently. Serious accessibility failure.;Ramp;Resolved;Safety incident filed with Airport Authority. Ground crew retraining on passenger tarmac safety scheduled within 2 weeks.
CMP000005;CUST0286;FLT00113;BKG001403;2025-06-16;Baggage;Trois bagages familiaux non chargés sur vol HF818. Promesse de livraison le lendemain. Cela fait 4 jours — toujours rien à LOS.;Baggage;Resolved;Item reported missing. 286 USD interim payment issued pending investigation. CCTV review requested with destination airport.
CMP000006;CUST0235;FLT00074;BKG000543;2025-03-13;Ramp Ops;Wheelchair assistance requested at booking (HF6155) not arranged at ABJ. Had to navigate terminal independently. Serious accessibility failure.;Ramp;Escalated;Passenger compensated 158 USD. Additional staff allocated to peak-hour departures on this route.
CMP000007;CUST0025;FLT00441;BKG000225;2025-03-20;Delay;Flight HF864 from ABJ to LOS was delayed 5h on 2025-10-27 with no gate announcement. I missed my connection and had to book an emergency hotel at 304 USD out of pocket.;Operations;Pending;Pending investigation — case assigned, no corrective action taken yet.
CMP000008;CUST0275;FLT00385;BKG000547;2025-11-25;Service;Cabin crew on flight HF710 was dismissive. Pre-ordered vegetarian meal unavailable — no apology, no alternative. As a Silver member this is unacceptable.;Customer Service;Escalated;Crew member identified and counseled. Formal apology sent. Refresher training on service standards scheduled for full cabin crew.
CMP000009;CUST0102;FLT00079;BKG000766;2025-03-24;Baggage;Baggage from flight HF564 delivered to wrong carousel. Found 2h later with broken handle and cracked shell. Requesting repair or 262 USD replacement compensation.;Baggage;Resolved;Claim under review. Customer given weekly updates. Coordinating with destination baggage team — target resolution 10 business days.
CMP000010;CUST0291;FLT00041;BKG000176;2025-09-06;Baggage;Luggage did not arrive on flight HF100 from ABJ to JNB on 2025-11-03. After 9 days no update. I was traveling for a conference — emergency expenses of 194 USD claimed.;Baggage;Escalated;Damage claim approved. 172 USD compensation issued. Baggage team retrained on fragile item protocol. Logged in Ramp Quality tracker.
CMP000011;CUST0109;FLT00476;BKG001105;2025-12-20;Ramp Ops;Wheelchair assistance requested at booking (HF9645) not arranged at ABJ. Had to navigate terminal independently. Serious accessibility failure.;Ramp;Closed - No Action;Pending investigation — case assigned, no corrective action taken yet.
CMP000012;CUST0118;FLT00302;BKG000452;2025-01-04;Delay;Vol HF548 annulé sans solution de remplacement immédiate. 310 USD remboursés sur 365 USD payés. Délai remboursement toujours en attente.;Operations;Resolved;Case closed — late inbound aircraft. Fleet Planning notified. Passenger offered priority rebooking on next available flight.
CMP000013;CUST0068;FLT00371;BKG001170;2025-10-23;Delay;Vol HF169 annulé sans solution de remplacement immédiate. 323 USD remboursés sur 585 USD payés. Délai remboursement toujours en attente.;Operations;Pending;Pending investigation — case assigned, no corrective action taken yet.
CMP000014;CUST0207;FLT00373;BKG000695;2025-02-25;Baggage;Luggage did not arrive on flight HF294 from ABJ to CDG on 2025-02-18. After 8 days no update. I was traveling for a conference — emergency expenses of 513 USD claimed.;Baggage;Escalated;PIR confirmed. Bag located at ABJ hub — delivered within 48h. 77 USD emergency expense reimbursed. Loading checklist gap identified.
CMP000015;CUST0277;FLT00429;BKG000031;2025-02-17;Delay;Flight HF243 from ABJ to BRU was delayed 3h on 2025-08-05 with no gate announcement. I missed my connection and had to book an emergency hotel at 335 USD out of pocket.;Operations;Resolved;Passenger contacted and apologized. Meal voucher 331 USD issued. Delay cause (ATC slot) forwarded to Network Operations for schedule review.
CMP000016;CUST0136;FLT00475;BKG000932;2025-05-27;Others;Purchased Flex fare for HF516 and tried to change booking online. System error for 5 days. Called support, on hold 75 min then disconnected. Missed change window.;Customer Service;Escalated;Online change tool bug logged with IT. Fare difference waived as goodwill — passenger rebooked at no extra cost.
CMP000017;CUST0030;FLT00026;BKG001197;2025-09-02;Baggage;Baggage from flight HF777 delivered to wrong carousel. Found 2h later with broken handle and cracked shell. Requesting repair or 302 USD replacement compensation.;Baggage;Closed - No Action;Pending investigation — case assigned, no corrective action taken yet.
CMP000018;CUST0127;FLT00297;BKG001218;2025-01-21;Baggage;Luggage did not arrive on flight HF158 from ABJ to ACC on 2025-09-18. After 4 days no update. I was traveling for a conference — emergency expenses of 689 USD claimed.;Baggage;Escalated;Claim under review. Customer given weekly updates. Coordinating with destination baggage team — target resolution 10 business days.
CMP000019;CUST0162;FLT00476;BKG000149;2025-01-05;Service;Check-in staff at ABJ overwhelmed. Waited 35 min in priority lane as Gold member. Agent dismissive about upgrade request despite availability showing online.;Customer Service;Resolved;Catering supplier notified of pre-order failure. Special meal flagging system under review. Passenger offered complimentary meal next flight.
CMP000020;CUST0146;FLT00081;BKG000898;2025-10-06;Baggage;Baggage from flight HF175 delivered to wrong carousel. Found 2h later with broken handle and cracked shell. Requesting repair or 215 USD replacement compensation.;Baggage;Closed - No Action;Pending investigation — case assigned, no corrective action taken yet.
CMP000021;CUST0284;FLT00080;BKG000558;2025-05-25;Service;Cabin crew on flight HF108 was dismissive. Pre-ordered vegetarian meal unavailable — no apology, no alternative. As a Silver member this is unacceptable.;Customer Service;Pending;Pending investigation — case assigned, no corrective action taken yet.
CMP000022;CUST0142;FLT00023;BKG000008;2025-06-20;Service;Repas servi froid sans choix sur vol HF803 (ABJ?DKR). Pour 337 USD en classe affaires, la qualité est bien en dessous du minimum acceptable.;Customer Service;Pending;Pending investigation — case assigned, no corrective action taken yet.
CMP000023;CUST0019;FLT00428;BKG000757;2025-10-26;Service;Flight attendant argued loudly with a passenger on HF265. Entire cabin was uncomfortable. No supervisor intervened. Formal action expected.;Customer Service;Pending;Pending investigation — case assigned, no corrective action taken yet.
CMP000024;CUST0080;FLT00474;BKG000485;2025-03-25;Baggage;Ma poussette enregistrée à ABJ est arrivée à BYK complètement détruite. L'article coûte 778 USD. Aucune solution proposée par le personnel au sol.;Baggage;Resolved;Bag found misrouted. Returned within 72h. Apology + 231 USD voucher. Label printer calibration scheduled to prevent recurrence.
CMP000025;CUST0020;FLT00440;BKG000964;2025-04-24;Others;Purchased Flex fare for HF125 and tried to change booking online. System error for 8 days. Called support, on hold 71 min then disconnected. Missed change window.;Customer Service;Escalated;Online change tool bug logged with IT. Fare difference waived as goodwill — passenger rebooked at no extra cost.
CMP000026;CUST0143;FLT00180;BKG001314;2025-09-18;Delay;Flight HF412 from ABJ to CMN was delayed 3h on 2025-04-27 with no gate announcement. I missed my connection and had to book an emergency hotel at 277 USD out of pocket.;Operations;Closed - No Action;Pending investigation — case assigned, no corrective action taken yet.
CMP000027;CUST0223;FLT00177;BKG001493;2025-06-10;Baggage;Ma poussette enregistrée à ABJ est arrivée à JNB complètement détruite. L'article coûte 674 USD. Aucune solution proposée par le personnel au sol.;Baggage;Closed - No Action;Pending investigation — case assigned, no corrective action taken yet.
CMP000028;CUST0101;FLT00187;BKG000884;2025-02-05;Baggage;Ma poussette enregistrée à ABJ est arrivée à SPY complètement détruite. L'article coûte 805 USD. Aucune solution proposée par le personnel au sol.;Baggage;Closed - No Action;Pending investigation — case assigned, no corrective action taken yet.
CMP000029;CUST0284;FLT00066;BKG000393;2025-08-04;Others;Denied boarding on HF779 despite confirmed booking HF6344. No immediate alternative offered. Had to book another carrier at double the price.;Customer Service;Closed - No Action;Pending investigation — case assigned, no corrective action taken yet.
CMP000030;CUST0165;FLT00239;BKG000905;2025-08-15;Service;Repas servi froid sans choix sur vol HF730 (ABJ?ACC). Pour 80 USD en classe affaires, la qualité est bien en dessous du minimum acceptable.;Customer Service;Resolved;Apology issued. Escalated to VP Customer Experience. 157 USD miles credited as goodwill gesture.
CMP000031;CUST0116;FLT00413;BKG000408;2025-03-17;Service;Check-in staff at ABJ overwhelmed. Waited 62 min in priority lane as Gold member. Agent dismissive about upgrade request despite availability showing online.;Customer Service;Pending;Pending investigation — case assigned, no corrective action taken yet.
CMP000032;CUST0076;FLT00336;BKG001409;2025-01-03;Delay;Retard de 5h sur le vol HF725 (ABJ?BRU). Aucun bon repas proposé. À l'arrivée à BRU, bagages livrés 8h plus tard. Désorganisation totale.;Operations;Resolved;Compensation 303 USD processed per IATA delay policy. Internal debrief with ground ops scheduled. OTP dashboard updated with incident flag.
CMP000033;CUST0063;FLT00234;BKG000274;2025-08-26;Ramp Ops;Les équipes rampe ont endommagé la porte cargo lors du chargement du vol HF897. Départ retardé de 3h — incident évitable avec plus de soin.;Ramp;Escalated;Special assistance coordination gap identified. SSR flags now auto-forwarded to ramp team 4h before departure — fix deployed.
CMP000034;CUST0133;FLT00385;BKG000507;2025-11-23;Service;Repas servi froid sans choix sur vol HF873 (ABJ?CMN). Pour 641 USD en classe affaires, la qualité est bien en dessous du minimum acceptable.;Customer Service;Closed - No Action;Pending investigation — case assigned, no corrective action taken yet.
CMP000035;CUST0277;FLT00042;BKG000284;2025-03-19;Delay;As a Gold member I expect minimum transparency. Flight HF741 departed 4h late — zero proactive communication, no meal vouchers, no rebooking assistance.;Operations;Escalated;Delay due to weather (force majeure) — no compensation per policy. Passenger notified with meteorological report reference.
