ticket_id;customer_id;booking_id;created_date;priority;category;ticket_text;status;resolution_days;customer_tier
TKT000001;CUST0156;BKG000032;2025-04-19;Urgent;Bagage perdu/endommagé;Valise arrivée avec serrure forcée et objets manquants (154 USD). Référence HF4555 — aucune réponse depuis 2 jours.;Résolu;1;Silver
TKT000002;CUST0274;BKG001329;2025-07-03;Urgent;Retard / Annulation;Retard de 6h sur HF348. J'ai raté ma correspondance et dû payer un hôtel 486 USD. Je demande le remboursement.;Fermé sans suite;N/A;Explorer
TKT000003;CUST0075;BKG000034;2025-05-14;Medium;Remboursement;Refund for cancelled flight HF580 not received after 7 days. Amount: 400 USD. Three follow-up emails ignored.;Résolu;3;Explorer
TKT000004;CUST0252;BKG000944;2025-03-28;Urgent;Upgrade / Ancillaire;My pre-paid extra baggage allowance was not recognized at check-in for flight HF437. I paid 591 USD twice.;Résolu;1;Silver
TKT000005;CUST0119;BKG000140;2025-12-29;High;Information vol;Impossible d'obtenir une information sur le statut du vol HF655. Site web non mis à jour, hotline saturée depuis 2h.;En cours;5;Explorer
TKT000006;CUST0147;BKG000036;2025-09-15;Low;Retard / Annulation;Flight HF599 delayed 2h with zero communication. As Gold member I expect a minimum of transparency and assistance.;Résolu;3;Explorer
TKT000007;CUST0204;BKG000162;2025-07-11;High;Fidélité / Points;Mon tier Gold n'a pas été renouvelé malgré les 1533 miles accumulés cette année. Compte : CUST0182.;Fermé sans suite;N/A;Explorer
TKT000008;CUST0005;BKG001440;2025-03-29;Medium;Service bord;Équipage vol HF947 peu professionnel. Repas spécial non servi malgré réservation confirmée. Aucune excuse présentée.;En cours;13;Explorer
TKT000009;CUST0289;BKG001348;2025-01-17;Medium;Bagage perdu/endommagé;My stroller checked in at ABJ arrived at SPY completely destroyed. Cost 566 USD — essential for my infant. No immediate solution offered.;Escaladé;N/A;Explorer
TKT000010;CUST0277;BKG000680;2025-07-16;Urgent;Retard / Annulation;Flight HF870 delayed 5h with zero communication. As Gold member I expect a minimum of transparency and assistance.;Fermé sans suite;N/A;Explorer
TKT000011;CUST0016;BKG001299;2025-05-20;High;Fidélité / Points;Mon tier Gold n'a pas été renouvelé malgré les 1895 miles accumulés cette année. Compte : CUST0204.;En cours;11;Silver
TKT000012;CUST0079;BKG000779;2025-12-31;Urgent;Fidélité / Points;Mon tier Gold n'a pas été renouvelé malgré les 801 miles accumulés cette année. Compte : CUST0043.;Résolu;2;Explorer
TKT000013;CUST0230;BKG001141;2025-10-12;High;Fidélité / Points;Mon tier Gold n'a pas été renouvelé malgré les 857 miles accumulés cette année. Compte : CUST0096.;Résolu;1;Silver
TKT000014;CUST0293;BKG001068;2025-03-28;Medium;Upgrade / Ancillaire;J'ai payé 378 USD pour une sélection de siège non respectée lors de l'embarquement sur HF712. Remboursement demandé.;Résolu;3;Explorer
TKT000015;CUST0127;BKG001477;2025-11-17;Medium;Information vol;I need to know the baggage policy for route ABJ-BRU with my current booking. Website information is contradictory.;Résolu;1;Explorer
TKT000016;CUST0165;BKG001236;2025-12-22;Medium;Service bord;Cabin crew on HF505 was rude when I asked for a blanket. As Silver member this is below expected standards.;Résolu;1;Explorer
TKT000017;CUST0289;BKG000410;2025-10-31;Medium;Retard / Annulation;Vol HF852 annulé sans solution alternative satisfaisante. 413 USD remboursés sur 685 USD payés. Remboursement complet exigé.;Résolu;2;Explorer
TKT000018;CUST0079;BKG001465;2025-08-05;Low;Upgrade / Ancillaire;Upgrade business acheté en ligne non appliqué sur vol HF314. J'ai voyagé en économie malgré le paiement de 498 USD.;Résolu;3;Silver
TKT000019;CUST0128;BKG001347;2025-12-07;Medium;Fidélité / Points;Mes 2932 points suite au vol HF618 du 2025-12-21 ne sont toujours pas crédités sur mon compte fidélité après 10 jours.;En cours;11;Explorer
TKT000020;CUST0298;BKG001409;2025-10-22;Low;Remboursement;Refund for cancelled flight HF915 not received after 2 days. Amount: 180 USD. Three follow-up emails ignored.;En cours;8;Silver
TKT000021;CUST0073;BKG000714;2025-06-09;Medium;Retard / Annulation;Flight HF254 delayed 2h with zero communication. As Gold member I expect a minimum of transparency and assistance.;Escaladé;N/A;Explorer
TKT000022;CUST0056;BKG001387;2025-03-26;Medium;Remboursement;J'ai annulé mon vol flex — remboursement 148 USD toujours pas crédité. Référence : HF1732.;Résolu;1;Explorer
TKT000023;CUST0220;BKG000797;2025-01-03;Medium;Information vol;I need to know the baggage policy for route ABJ-JNB with my current booking. Website information is contradictory.;Résolu;2;Explorer
TKT000024;CUST0251;BKG001081;2025-11-24;Medium;Information vol;Quels documents sont requis pour voyager sur la route ABJ-SPY ? Les informations sur le site sont contradictoires.;En cours;12;Explorer
TKT000025;CUST0157;BKG000240;2025-04-04;Medium;Remboursement;Remboursement demandé le 2025-08-23 pour booking HF3194. 4 jours sans réponse. C'est inacceptable.;En cours;8;Silver
TKT000026;CUST0096;BKG000645;2025-08-19;High;Remboursement;Remboursement demandé le 2025-08-05 pour booking HF3733. 9 jours sans réponse. C'est inacceptable.;Résolu;3;Explorer
TKT000027;CUST0086;BKG000170;2025-10-17;Low;Upgrade / Ancillaire;Upgrade business acheté en ligne non appliqué sur vol HF934. J'ai voyagé en économie malgré le paiement de 586 USD.;Résolu;1;Explorer
TKT000028;CUST0278;BKG000086;2025-08-14;High;Bagage perdu/endommagé;Valise arrivée avec serrure forcée et objets manquants (195 USD). Référence HF2871 — aucune réponse depuis 9 jours.;Résolu;3;Explorer
TKT000029;CUST0180;BKG001456;2025-11-09;Medium;Upgrade / Ancillaire;J'ai payé 436 USD pour une sélection de siège non respectée lors de l'embarquement sur HF995. Remboursement demandé.;En cours;7;Explorer
TKT000030;CUST0294;BKG000548;2025-09-21;Medium;Information vol;I need to know the baggage policy for route ABJ-DKR with my current booking. Website information is contradictory.;Escaladé;N/A;Silver
TKT000031;CUST0073;BKG001183;2025-11-20;High;Information vol;I need to know the baggage policy for route ABJ-CDG with my current booking. Website information is contradictory.;Escaladé;N/A;Explorer
