review_id;customer_id;flight_id;route_id;review_date;rating_1_5;review_text;nlp_sentiment;complaint_category;language;linked_booking_id
REV000001;CUST0085;FLT00388;R005;2025-09-21;5;Pleasant flight HF575, on-time departure, friendly and professional crew. Would definitely fly Air CI again on this route.;Positif;Ponctualité;EN;BKG000288
REV000002;CUST0120;FLT00022;R009;2025-12-09;4;Confort correct pour un vol régional. Personnel attentionné et souriant. Le plateau repas était de bonne qualité pour la durée du vol.;Positif;Rapport qualité;FR;BKG000424
REV000003;CUST0135;FLT00297;R010;2025-10-06;2;The aircraft on flight HF147 was old and dirty. Entertainment system broken. Not worth the 481 USD I paid.;Négatif;Confort;EN;BKG001168
REV000004;CUST0177;FLT00250;R004;2025-09-04;3;Retard de 4h sur HF629 sans information donnée aux passagers. À l'arrivée, mes bagages ont pris encore 5h. Expérience désastreuse.;Neutre;Retard/Annulation;FR;BKG001238
REV000005;CUST0061;FLT00339;R001;2025-04-28;1;Personnel au sol peu professionnel lors de l'enregistrement. 30 minutes d'attente en file prioritaire — aucun sens du service.;Négatif;Bagages;FR;BKG000850
REV000006;CUST0294;FLT00304;R007;2025-03-24;5;Pleasant flight HF315, on-time departure, friendly and professional crew. Would definitely fly Air CI again on this route.;Positif;Rapport qualité;EN;BKG000276
REV000007;CUST0146;FLT00044;R010;2025-04-21;4;Équipage très professionnel et souriant sur le vol HF364. Départ à l'heure, bagages récupérés rapidement. Excellente expérience, je reviendrai.;Positif;Ponctualité;FR;BKG000920
REV000008;CUST0233;FLT00306;R009;2025-10-30;2;The aircraft on flight HF246 was old and dirty. Entertainment system broken. Not worth the 825 USD I paid.;Négatif;Prix/Rapport qualité;EN;BKG000141
REV000009;CUST0020;FLT00450;R005;2025-09-30;1;Personnel au sol peu professionnel lors de l'enregistrement. 31 minutes d'attente en file prioritaire — aucun sens du service.;Négatif;Bagages;FR;BKG001031
REV000010;CUST0247;FLT00405;R002;2025-07-15;4;Très bonne surprise pour ce vol ABJ?SPY. Ponctualité parfaite, service agréable, embarquement fluide. Je recommande.;Positif;Rapport qualité;FR;BKG000718
